AÑO,MES,implementado,consulta externa,cred,discapacidad,inmunizacion,programacion,refcon,ventanilla unica,wawared,DIRESA
2021,10,31,28,32,91,45,33,84,33,27,SAN MARTIN
2019,7,24,10,21,159,92,27,385,24,23,ANCASH
2019,7,6,11,11,20,44,47,6,39,64,LIMA CENTRO
2021,12,53,43,73,111,78,53,278,53,56,LA LIBERTAD
2020,8,14,13,12,38,22,17,25,16,14,UCAYALI
2019,3,0,0,0,4,4,0,69,0,2,MADRE DE DIOS
2020,5,13,14,25,9,43,14,25,15,22,MOQUEGUA
2021,11,102,81,87,42,94,108,107,106,98,LIMA NORTE
2020,3,67,63,111,29,185,77,255,71,108,AREQUIPA
2020,5,70,47,46,7,67,78,77,76,72,LIMA ESTE
2019,4,5,4,5,4,11,6,16,5,6,TACNA
2019,12,24,24,28,64,92,25,152,24,30,LAMBAYEQUE
2021,7,39,35,82,126,295,45,420,39,121,PUNO
2018,2,0,0,0,31,6,0,22,0,0,SAN MARTIN
2021,5,47,46,113,25,135,52,92,52,80,ICA
2019,12,36,30,46,40,64,41,53,37,40,AYACUCHO
2020,12,22,24,28,159,49,23,135,25,30,CAJAMARCA
2021,5,48,52,49,36,64,59,202,56,298,JUNIN
2018,1,0,0,0,7,3,0,0,0,0,TUMBES
2020,2,65,55,67,31,94,74,125,66,116,LIMA SUR
2020,4,48,45,54,40,74,52,71,48,50,AYACUCHO
2021,4,41,41,48,103,48,42,264,42,103,HUANUCO
2021,1,14,17,32,43,32,26,15,20,22,LORETO
2019,4,76,10,9,16,86,89,89,85,95,LIMA NORTE
2018,4,0,0,0,57,103,0,103,0,18,APURIMAC
2021,12,5,5,5,13,12,6,71,5,5,MADRE DE DIOS
2019,3,0,2,3,21,45,3,45,2,20,LA LIBERTAD
2019,9,26,5,69,27,177,32,249,26,91,AREQUIPA
2019,2,0,0,0,19,16,0,0,0,1,UCAYALI
2019,4,1,4,2,106,37,4,1,5,24,CAJAMARCA
2020,11,38,34,80,117,294,45,402,39,121,PUNO
2021,6,72,48,46,9,73,81,80,80,73,LIMA ESTE
2020,9,47,46,109,20,132,52,81,48,77,ICA
2020,9,47,52,48,31,64,57,168,56,293,JUNIN
2020,5,14,13,12,38,22,17,25,16,13,UCAYALI
2020,8,13,14,28,9,50,14,25,15,22,MOQUEGUA
2018,8,0,0,0,47,8,0,26,0,0,SAN MARTIN
2019,9,7,5,10,6,13,8,23,7,11,TACNA
2021,5,10,10,12,7,16,15,29,11,12,TACNA
2021,7,29,28,36,70,136,33,168,29,32,LAMBAYEQUE
2018,5,0,0,0,10,103,0,223,0,17,AREQUIPA
2018,3,0,0,0,3,16,0,4,0,4,MOQUEGUA
2019,5,5,1,28,59,33,30,8,23,1,HUANCAVELICA
2020,11,22,24,28,158,49,23,109,25,30,CAJAMARCA
2020,12,48,45,56,70,78,53,85,48,50,AYACUCHO
2018,5,0,0,0,11,25,1,17,0,21,JUNIN
2018,5,0,0,1,12,58,0,1,0,31,ICA
2018,10,2,2,2,25,10,2,3,2,5,LORETO
2020,11,24,23,26,177,34,24,58,24,26,CUSCO
2020,4,24,27,28,50,28,29,36,27,29,AMAZONAS
2021,9,15,13,21,47,22,21,39,19,16,UCAYALI
2021,2,68,63,124,31,191,79,256,71,120,AREQUIPA
2021,4,13,14,35,9,54,14,27,15,22,MOQUEGUA
2019,8,34,34,36,71,44,35,225,35,70,HUANUCO
2021,3,24,27,28,53,28,29,36,27,31,AMAZONAS
2021,12,25,23,27,199,37,26,93,25,26,CUSCO
2020,8,41,41,67,100,264,54,354,41,119,APURIMAC
2020,1,46,48,48,25,53,49,49,48,64,LIMA CENTRO
2021,12,12,12,28,69,31,23,217,14,23,LIMA
2019,10,43,12,101,176,424,54,65,48,42,PIURA
2018,9,0,0,0,4,7,0,0,0,39,CALLAO
2021,12,29,27,142,41,252,32,215,29,169,PASCO
2018,8,0,0,0,51,70,0,88,0,0,LAMBAYEQUE
2019,9,32,29,33,22,42,32,57,32,69,JUNIN
2019,9,41,7,95,19,120,43,53,42,67,ICA
2021,1,72,47,46,8,73,78,78,77,72,LIMA ESTE
2020,10,38,27,38,68,47,40,118,39,27,HUANCAVELICA
2020,3,41,41,67,100,244,44,352,41,112,APURIMAC
2021,7,24,23,26,190,34,25,69,24,26,CUSCO
2021,8,24,27,28,60,30,29,38,27,31,AMAZONAS
2019,6,2,3,6,27,18,12,3,8,9,LORETO
2019,3,29,28,29,50,38,29,214,29,43,HUANUCO
2021,8,22,24,29,177,54,23,271,25,31,CAJAMARCA
2021,8,10,10,12,8,16,15,31,11,12,TACNA
2020,4,70,47,46,7,67,78,77,76,72,LIMA ESTE
2018,4,0,0,1,3,6,0,12,0,2,TACNA
2018,12,5,1,0,16,128,7,228,5,24,AREQUIPA
2018,7,0,0,0,18,13,0,0,0,0,UCAYALI
2018,10,3,1,0,5,19,6,16,5,15,MOQUEGUA
2021,4,72,47,46,9,73,81,78,78,72,LIMA ESTE
2021,1,7,8,12,18,13,40,7,10,8,TUMBES
2019,2,28,20,10,21,67,50,109,28,114,LIMA SUR
2021,3,10,10,12,7,16,15,29,11,12,TACNA
2018,11,5,8,6,15,37,45,5,35,63,LIMA CENTRO
2019,10,42,8,96,19,120,44,54,44,67,ICA
2021,3,48,45,56,71,79,57,93,48,50,AYACUCHO
2019,10,32,29,34,25,44,32,73,32,96,JUNIN
2021,9,39,27,38,80,52,43,170,43,27,HUANCAVELICA
2020,2,70,47,44,7,66,78,77,76,72,LIMA ESTE
2019,11,21,17,25,64,91,21,140,21,30,LAMBAYEQUE
2020,4,10,10,12,6,14,11,26,10,12,TACNA
2022,1,73,48,46,10,73,81,81,80,74,LIMA ESTE
2020,2,32,29,74,112,289,36,399,33,110,PUNO
2019,11,70,16,16,7,54,78,75,76,72,LIMA ESTE
2020,2,27,26,34,64,106,30,161,27,32,LAMBAYEQUE
